Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
DEC 56 : 409502240.000000	289572512.000000	157062560.000000	
HEX 57 : C97EA90	4912EF8	2F72968	
DEC 57 : 211282576.000000	76623608.000000	49752424.000000	
HEX 58 : 1A283340	27BBC60	68E23C0	
DEC 58 : 438842176.000000	41663584.000000	109978560.000000	
HEX 59 : 1CCE2000	64DD530	C7A6B50	
DEC 59 : 483270656.000000	105764144.000000	209349456.000000	
HEX 60 : F6C24B0	1CAE8960	16E44B40	
DEC 60 : 258745520.000000	481200480.000000	384060224.000000	
HEX 61 : 3269A5C	15BA4EC0	AB0E4B0	
DEC 61 : 52861532.000000	364531392.000000	179365040.000000	
HEX 62 : 17F698C0	1222D2E0	10D413C0	
DEC 62 : 402036928.000000	304272096.000000	282334144.000000	
HEX 63 : 1675E3C0	16BEA	CA0F780	
DEC 63 : 376824768.000000	93162.000000	211875712.000000	
HEX 64 : E3892D	123C0640	1FC9B960	
DEC 64 : 14911789.000000	305923648.000000	533313888.000000	
HEX 65 : 1F562900	10E04CC0	160526A0	
DEC 65 : 525740288.000000	283135168.000000	369436320.000000	
HEX 66 : 377E74C	E3CDED0	DAE5E20	
DEC 66 : 58189644.000000	238870224.000000	229531168.000000	
HEX 67 : 5553930	1167AAE0	4ECDF10	
DEC 67 : 89471280.000000	292006624.000000	82632464.000000	
HEX 68 : 12091D60	16B6C	5DBB1E0	
DEC 68 : 302587232.000000	93036.000000	98284000.000000	
HEX 69 : 12627840	6C73C38	17529100	
DEC 69 : 308443200.000000	113720376.000000	391287040.000000	
HEX 70 : 666F87	A4959E0	5585878	
DEC 70 : 6713223.000000	172579296.000000	89675896.000000	
HEX 71 : 1EED2B40	1197ED80	1E847D20	
DEC 71 : 518859584.000000	295169408.000000	511999264.000000	
HEX 72 : 10842400	D76E560	C523880	
DEC 72 : 277095424.000000	225895776.000000	206715008.000000	
HEX 73 : E067710	A4A84	13BA71E0	
DEC 73 : 235304720.000000	674436.000000	330985952.000000	
HEX 74 : 36F8C3C	198C3860	1E1575A0	
DEC 74 : 57642044.000000	428619872.000000	504722848.000000	
HEX 75 : 8CEDF80	C0287A0	8DD55A0	
DEC 75 : 147775360.000000	201492384.000000	148723104.000000	
HEX 76 : 1741BAA0	AF45280	E8C1C40	
DEC 76 : 390183584.000000	183784064.000000	244063296.000000	
HEX 77 : DDC07C0	1FA492A0	8871690	
DEC 77 : 232523712.000000	530879136.000000	143070864.000000	
HEX 78 : 21D39E0	1E1DD9C0	740C1E0	
DEC 78 : 35469792.000000	505272768.000000	121684448.000000	
HEX 79 : 1C68B800	1D7FF640	DAC1880	
DEC 79 : 476624896.000000	494925376.000000	229382272.000000	
HEX 80 : 6957130	1B2A7480	E9B5A60	
DEC 80 : 110457136.000000	455767168.000000	245062240.000000	
HEX 81 : F7BE930	B321C70	53765A8	
DEC 81 : 259778864.000000	187833456.000000	87516584.000000	
HEX 82 : 1E5A29E0	D0DF1D0	6817A58	
DEC 82 : 509225440.000000	219017680.000000	109148760.000000	
HEX 83 : 147BD2E	15372380	121AB1E0	
DEC 83 : 21478702.000000	355935104.000000	303739360.000000	
HEX 84 : 387F4B	1C284	40834B8	
DEC 84 : 3702603.000000	115332.000000	67646648.000000	
HEX 85 : 1FC294C0	14BE33A0	86CA4B0	
DEC 85 : 532845760.000000	348009376.000000	141337776.000000	
HEX 86 : 90C3530	BB08FC0	1575D2E	
DEC 86 : 151794992.000000	196120512.000000	22502702.000000	
HEX 87 : DEBF8F0	19CCE9A0	F98F000	
DEC 87 : 233568496.000000	432859552.000000	261681152.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
