Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 3C2ED2C	1103FE80	F4D1F80	
HEX 56 : 2A4C968	1F3546A0	EF3AB50	
DEC 56 : 44353896.000000	523585184.000000	250850128.000000	
HEX 57 : 1445D3C0	1CA9D080	8401C40	
DEC 57 : 340120512.000000	480891008.000000	138419264.000000	
HEX 58 : 4156000	11EB3860	14B6800	
DEC 58 : 68509696.000000	300628064.000000	21719040.000000	
HEX 59 : 8967880	152C9DE0	13506160	
DEC 59 : 144078976.000000	355245536.000000	324034912.000000	
HEX 60 : EDB64B0	A0566A0	48EDAD0	
DEC 60 : 249259184.000000	168126112.000000	76470992.000000	
HEX 61 : 3390F1	54403C8	9C5ACB0	
DEC 61 : 3379441.000000	88343496.000000	163949744.000000	
HEX 62 : 1C0B9880	65B59F8	1CE6BA60	
DEC 62 : 470521984.000000	106650104.000000	484883040.000000	
HEX 63 : 2CA5698	B95A3D0	177CA5A0	
DEC 63 : 46814872.000000	194356176.000000	394044832.000000	
HEX 64 : 11731E20	1914BFC0	22260F0	
DEC 64 : 292757024.000000	420790208.000000	35807472.000000	
HEX 65 : 106816A0	90EDDF0	17167F00	
DEC 65 : 275256992.000000	151969264.000000	387350272.000000	
HEX 66 : 10CCA100	1A324420	1498C080	
DEC 66 : 281846016.000000	439501856.000000	345555072.000000	
HEX 67 : EB85A60	70DD300	10075AE0	
DEC 67 : 246962784.000000	118346496.000000	268917472.000000	
HEX 68 : EFC22D0	129BE140	104873C0	
DEC 68 : 251405008.000000	312205632.000000	273183680.000000	
HEX 69 : 1D502D20	1818D840	1A4A5780	
DEC 69 : 491793696.000000	404281408.000000	441079680.000000	
HEX 70 : 7B84000	16B6C	1C1414C0	
DEC 70 : 129515520.000000	93036.000000	471078080.000000	
HEX 71 : 1B7871E0	1624B	A4EFB50	
DEC 71 : 460878304.000000	90699.000000	172948304.000000	
HEX 72 : 18F34D20	17B04D20	39D1000	
DEC 72 : 418598176.000000	397430048.000000	60624896.000000	
HEX 73 : 147732E0	164DAEC0	C46AF80	
DEC 73 : 343356128.000000	374189760.000000	205959040.000000	
HEX 74 : 1CB5C960	12570F00	1579AB40	
DEC 74 : 481675616.000000	307695360.000000	360295232.000000	
HEX 75 : 7AB4000	73DA7E8	9765880	
DEC 75 : 128663552.000000	121481192.000000	158750848.000000	
HEX 76 : 1F20FA60	179FFC6	10B90F80	
DEC 76 : 522254944.000000	24772550.000000	280563584.000000	
HEX 77 : 18156E20	15F94	12EF6080	
DEC 77 : 404057632.000000	90004.000000	317677696.000000	
HEX 78 : F85EF10	14D7B900	1FEC1A60	
DEC 78 : 260435728.000000	349681920.000000	535566944.000000	
HEX 79 : 628C5A8	128A3AA0	19EFAD20	
DEC 79 : 103335336.000000	311048864.000000	435137824.000000	
HEX 80 : 1FF19100	9AA4240	3833078	
