Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 1A7FF520	B222880	20B34B4	
HEX 56 : 6C08930	BD7A9E0	F3FFA60	
DEC 56 : 113281328.000000	198683104.000000	255851104.000000	
HEX 57 : 13554F40	1D07E3C0	181916A0	
DEC 57 : 324357952.000000	487056320.000000	404297376.000000	
HEX 58 : C5F2040	1CFECA60	12278960	
DEC 58 : 207560768.000000	486460000.000000	304580960.000000	
HEX 59 : E6F3C80	22A643C	193A03C0	
DEC 59 : 242171008.000000	36332604.000000	423232448.000000	
HEX 60 : 5CBB87	CD9C4B0	9B27970	
DEC 60 : 6077319.000000	215598256.000000	162691440.000000	
HEX 61 : 1ADC39A0	18D3F4C0	A4C52D0	
DEC 61 : 450640288.000000	416543936.000000	172774096.000000	
HEX 62 : 1956EEA0	15998AE0	10EDA1E0	
DEC 62 : 425127584.000000	362384096.000000	284008928.000000	
HEX 63 : 64A5968	86A74B0	8536970	
DEC 63 : 105535848.000000	141194416.000000	139684208.000000	
HEX 64 : EC80E60	1564CF80	17DB6F00	
DEC 64 : 247991904.000000	358928256.000000	400256768.000000	
HEX 65 : 445D440	1D0D25A0	1DE605A0	
DEC 65 : 71685184.000000	487400864.000000	501613984.000000	
HEX 66 : 152F8840	1F1A078	1CF78780	
DEC 66 : 355436608.000000	32612472.000000	485984128.000000	
HEX 67 : 10E0C6A0	9386DA0	18406880	
DEC 67 : 283166368.000000	154693024.000000	406874240.000000	
HEX 68 : 12CE5CC0	114CEEA0	E44EF10	
DEC 68 : 315514048.000000	290254496.000000	239398672.000000	
HEX 69 : AD05080	D87EF80	19682C40	
DEC 69 : 181424256.000000	227012480.000000	426257472.000000	
HEX 70 : 1D9784C0	1280BC4	9513E20	
DEC 70 : 496469184.000000	19401668.000000	156319264.000000	
HEX 71 : B2D3930	183596A0	1EC974C0	
DEC 71 : 187513136.000000	406165152.000000	516519104.000000	
HEX 72 : 6FB3878	6835620	1CFA5A	
DEC 72 : 117127288.000000	109270560.000000	1899098.000000	
HEX 73 : 11FA91E0	159B0260	FD5969	
DEC 73 : 301634016.000000	362480224.000000	16603497.000000	
HEX 74 : DFB2040	12713520	89A62D0	
DEC 74 : 234561600.000000	309409056.000000	144335568.000000	
HEX 75 : A88F9E0	166B9EA0	1C6B788	
DEC 75 : 176749024.000000	376151712.000000	29800328.000000	
HEX 76 : 1FFB01E0	F21E4B0	70E04B8	
DEC 76 : 536543712.000000	253879472.000000	118359224.000000	
HEX 77 : 1E5A6D20	1A7E8B40	13AF74C0	
DEC 77 : 509242656.000000	444500800.000000	330265792.000000	
HEX 78 : 19C5D840	104E0000	B97B5A0	
DEC 78 : 432396352.000000	273547264.000000	194491808.000000	
HEX 79 : 1F0A3960	B426260	D763780	
DEC 79 : 520763744.000000	188899936.000000	225851264.000000	
HEX 80 : 18355380	1D1D13C0	1DD87A60	
DEC 80 : 406147968.000000	488444864.000000	500726368.000000	
HEX 81 : 1AFB6EA0	17EB2880	27F8A5C	
DEC 81 : 452685472.000000	401287296.000000	41912924.000000	
HEX 82 : 1F6A7BC0	1FEA35A0	1B80F4C0	
DEC 82 : 527072192.000000	535442848.000000	461436096.000000	
HEX 83 : 16121880	9C25780	1DADF880	
DEC 83 : 370284672.000000	163731328.000000	497940608.000000	
HEX 84 : 3AAA4B4	EC47D30	16E473C0	
DEC 84 : 61514932.000000	247758128.000000	384070592.000000	
HEX 85 : CD84290	7BD68F0	4ADD000	
DEC 85 : 215499408.000000	129853680.000000	78499840.000000	
HEX 86 : FB49800	E9014B0	2627B4C	
DEC 86 : 263493632.000000	244323504.000000	40008524.000000	
HEX 87 : 1039B160	1E2E1880	BCBA3C0	
DEC 87 : 272216416.000000	506337408.000000	197895104.000000	
HEX 88 : 7D474F0	170634C	1CC4AB40	
DEC 88 : 131364080.000000	24142668.000000	482650944.000000	
HEX 89 : 1E245F80	1863A000	1B41A4C0	
DEC 89 : 505700224.000000	409182208.000000	457286848.000000	
HEX 90 : 13174C80	199234C	125642E0	
DEC 90 : 320294016.000000	26813260.000000	307643104.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
