Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
DEC 56 : 359999840.000000	345296224.000000	137679328.000000	
HEX 57 : 5162968	F4CC880	103FD1E0	
DEC 57 : 85338472.000000	256690304.000000	272617952.000000	
HEX 58 : E0833C0	98B2080	80F01E0	
DEC 58 : 235418560.000000	160112768.000000	135201248.000000	
HEX 59 : 12AC7100	18E9F100	2B695A4	
DEC 59 : 313291008.000000	417984768.000000	45520292.000000	
HEX 60 : 1A752E20	A22EC80	17830880	
DEC 60 : 443887136.000000	170060928.000000	394463360.000000	
HEX 61 : B0D42D0	AD89880	11606B40	
DEC 61 : 185418448.000000	181966976.000000	291531584.000000	
HEX 62 : 7042698	1FDC82E0	30F1878	
DEC 62 : 117712536.000000	534545120.000000	51320952.000000	
HEX 63 : E269F10	161AE780	A7980F0	
DEC 63 : 237412112.000000	370861952.000000	175735024.000000	
HEX 64 : BE31880	1F935620	180AD6A0	
DEC 64 : 199432320.000000	529749536.000000	403363488.000000	
HEX 65 : 6BB4878	16B60DE0	E9C1C40	
DEC 65 : 112937080.000000	381029856.000000	245111872.000000	
HEX 66 : 8D673C0	256383C	41BB698	
DEC 66 : 148272064.000000	39204924.000000	68925080.000000	
HEX 67 : 9520B50	1BD55F00	9BC7F10	
DEC 67 : 156371792.000000	466968320.000000	163348240.000000	
HEX 68 : 1D77A780	19E19000	109286A0	
DEC 68 : 494380928.000000	434212864.000000	278038176.000000	
HEX 69 : 4C26968	55BFB48	F2F5F10	
DEC 69 : 79849832.000000	89914184.000000	254762768.000000	
HEX 70 : 1031F1E0	4F6C1A8	1F681E2	
DEC 70 : 271708640.000000	83280296.000000	32932322.000000	
HEX 71 : 1B51C000	845F220	9B2D970	
DEC 71 : 458342400.000000	138801696.000000	162716016.000000	
HEX 72 : B8CC3C	F61C170	139E96A	
DEC 72 : 12110908.000000	258064752.000000	20572522.000000	
HEX 73 : 180B7B40	AD4E310	1069DA60	
DEC 73 : 403405632.000000	181723920.000000	275372640.000000	
HEX 74 : D6895A0	1B3CFC40	10A45D20	
DEC 74 : 224957856.000000	456981568.000000	279207200.000000	
HEX 75 : 6224C40	9436690	8E52F10	
DEC 75 : 102911040.000000	155412112.000000	149237520.000000	
HEX 76 : B57D2D	1BA967C0	ECF8690	
DEC 76 : 11894061.000000	464086976.000000	248481424.000000	
HEX 77 : 1C775880	2E36DE0	17DD42E0	
DEC 77 : 477583488.000000	48459232.000000	400376544.000000	
HEX 78 : F533C40	10C882E0	5309698	
DEC 78 : 257113152.000000	281576160.000000	87070360.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
