Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 56 : 299122208.000000	372976928.000000	39224020.000000	
HEX 57 : B7B2D30	13589080	5E83E20	
DEC 57 : 192621872.000000	324571264.000000	99106336.000000	
HEX 58 : 112CC440	11E3D5A0	110F1E20	
DEC 58 : 288146496.000000	300144032.000000	286203424.000000	
HEX 59 : 17BA92E0	E3ABB50	11A401E0	
DEC 59 : 398103264.000000	238730064.000000	295961056.000000	
HEX 60 : 18F372E0	1294A3C0	643DC40	
DEC 60 : 418607840.000000	311731136.000000	105110592.000000	
HEX 61 : AF845A0	BD54530	5D962D0	
DEC 61 : 184042912.000000	198526256.000000	98132688.000000	
HEX 62 : 2DFE800	1551A160	E9A25A0	
DEC 62 : 48228352.000000	357671264.000000	244983200.000000	
HEX 63 : 12388880	2712BC4	1DA2C5A0	
DEC 63 : 305694848.000000	40971204.000000	497206688.000000	
HEX 64 : 1528ED20	1057DB40	1AB29B40	
DEC 64 : 355003680.000000	274193216.000000	447912768.000000	
HEX 65 : 16170620	15F43960	15C35E20	
DEC 65 : 370607648.000000	368327008.000000	365125152.000000	
HEX 66 : 1B1882E0	143C8440	1F1844C0	
DEC 66 : 454591200.000000	339510336.000000	521684160.000000	
HEX 67 : 1C34B620	11550DA0	183CBD20	
DEC 67 : 473216544.000000	290786720.000000	406633760.000000	
HEX 68 : 1AF4E5A0	B03CC40	3A8E3C4	
DEC 68 : 452257184.000000	184798272.000000	61400004.000000	
HEX 69 : 1030EEA0	F382440	A1663C0	
DEC 69 : 271642272.000000	255337536.000000	169239488.000000	
HEX 70 : 11A0D000	9F06D30	1D44F5A0	
DEC 70 : 295751680.000000	166751536.000000	491058592.000000	
HEX 71 : 16A12960	58A3F88	D4BD2D	
DEC 71 : 379660640.000000	92946312.000000	13942061.000000	
HEX 72 : 5097258	FD0F88	173206A0	
DEC 72 : 84505176.000000	16584584.000000	389154464.000000	
HEX 73 : FB3A5A0	1A328C40	105955A0	
DEC 73 : 263431584.000000	439520320.000000	274290080.000000	
HEX 74 : BBA3080	168C6D20	1D9BD5A0	
DEC 74 : 196751488.000000	378301728.000000	496752032.000000	
HEX 75 : 18FAF440	43204B8	120EE6A0	
DEC 75 : 419099712.000000	70386872.000000	302966432.000000	
HEX 76 : 669E2D0	906A350	14B3CB40	
DEC 76 : 107602640.000000	151429968.000000	347327296.000000	
HEX 77 : 2CB10F0	6FB3530	1B29CF00	
DEC 77 : 46862576.000000	117126448.000000	455724800.000000	
HEX 78 : 16CD8340	6D4E620	18C434C0	
DEC 78 : 382567232.000000	114615840.000000	415511744.000000	
HEX 79 : ACC8CB0	1E0D01E0	1491BD20	
DEC 79 : 181177520.000000	504168928.000000	345095456.000000	
HEX 80 : 27A0000	1578EE20	1E63A100	
DEC 80 : 41549824.000000	360246816.000000	509845760.000000	
HEX 81 : 138074C0	5311E2	16865960	
DEC 81 : 327185600.000000	5444066.000000	377903456.000000	
HEX 82 : 1966BCC0	1D8982E0	1943F880	
DEC 82 : 426163392.000000	495551200.000000	423884928.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
