Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 389155168.000000	121019816.000000	318677952.000000	
HEX 57 : 13552A60	13799E20	261E710	
DEC 57 : 324348512.000000	326737440.000000	39970576.000000	
HEX 58 : 3019A5C	49ADA58	E68BBC0	
DEC 58 : 50436700.000000	77257304.000000	241744832.000000	
HEX 59 : 62C7E20	D08E3C0	1A196B40	
DEC 59 : 103579168.000000	218686400.000000	437873472.000000	
HEX 60 : D10F0F	2138800	76F25A8	
DEC 60 : 13700879.000000	34834432.000000	124724648.000000	
HEX 61 : 1D48A4C0	1A7FCF80	1F7FF440	
DEC 61 : 491300032.000000	444583808.000000	528479296.000000	
HEX 62 : 6F6B000	B16F690	28A8F88	
DEC 62 : 116830208.000000	186054288.000000	42635144.000000	
HEX 63 : 8A750F0	99118F0	DFC45A0	
DEC 63 : 145182960.000000	160504048.000000	234636704.000000	
HEX 64 : 1CA6D5A0	16C2AF80	9E5F5A0	
DEC 64 : 480695712.000000	381857664.000000	166065568.000000	
HEX 65 : 1076C880	1E767EA0	18509340	
DEC 65 : 276220032.000000	511082144.000000	407933760.000000	
HEX 66 : 1736E780	8123B50	1FD7F4C0	
DEC 66 : 389474176.000000	135412560.000000	534246592.000000	
HEX 67 : 1A200C40	18973960	14569BC0	
DEC 67 : 438307904.000000	412563808.000000	341220288.000000	
HEX 68 : C38697	17579EA0	4FCE078	
DEC 68 : 12813975.000000	391618208.000000	83681400.000000	
HEX 69 : C0F74B0	E726710	1EF7B3C0	
DEC 69 : 202339504.000000	242378512.000000	519549888.000000	
HEX 70 : 80F42D0	1A732440	78C4C40	
DEC 70 : 135217872.000000	443753536.000000	126635072.000000	
HEX 71 : 19596880	1D9E6080	19E39780	
DEC 71 : 425289856.000000	496918656.000000	434345856.000000	
HEX 72 : 143CC3C	1B335D20	BF1ADA0	
DEC 72 : 21220412.000000	456351008.000000	200388000.000000	
HEX 73 : D660F1	C93BD30	F3EBC40	
DEC 73 : 14049521.000000	211008816.000000	255769664.000000	
HEX 74 : 14291B40	1B583D20	35D2D2	
DEC 74 : 338238272.000000	458767648.000000	3527378.000000	
HEX 75 : BF787	76131E0	14B1CB4	
DEC 75 : 784263.000000	123810272.000000	21699764.000000	
HEX 76 : 15233E20	E68FC40	13CF4700	
DEC 76 : 354631200.000000	241761344.000000	332351232.000000	
HEX 77 : 1163D2E0	31C8788	1D51FE20	
DEC 77 : 291754720.000000	52201352.000000	491912736.000000	
HEX 78 : 11E16B40	13282080	1E2BBC40	
DEC 78 : 299985728.000000	321396864.000000	506182720.000000	
HEX 79 : 15A12780	18511AE0	7ABE440	
DEC 79 : 362882944.000000	407968480.000000	128705600.000000	
HEX 80 : 190105A0	AAD9970	C338620	
DEC 80 : 419497376.000000	179149168.000000	204703264.000000	
HEX 81 : 132A92E0	9A9DCB0	19B2AC40	
DEC 81 : 321557216.000000	162127024.000000	431139904.000000	
HEX 82 : 1AF30F0	12832AE0	AB0ADA0	
DEC 82 : 28258544.000000	310586080.000000	179350944.000000	
HEX 83 : 180923C0	1652A900	1B351D20	
DEC 83 : 403252160.000000	374515968.000000	456465696.000000	
HEX 84 : 132E4C40	C5449E0	4FB5710	
DEC 84 : 321801280.000000	206850528.000000	83580688.000000	
HEX 85 : 7F29878	1BC8C3C	4246258	
DEC 85 : 133339256.000000	29133884.000000	69493336.000000	
HEX 86 : 2EC4D2C	981A710	8B1B8F0	
DEC 86 : 49040684.000000	159491856.000000	145864944.000000	
HEX 87 : 13C03E20	5947B48	8453780	
DEC 87 : 331365920.000000	93616968.000000	138753920.000000	
HEX 88 : B2025A0	172DE6A0	14A8EDA0	
DEC 88 : 186656160.000000	388884128.000000	346615200.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
