Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
DEC 57 : 410939392.000000	159284768.000000	6905360.000000	
HEX 58 : B9B13C0	1A03F000	1F41FA20	
DEC 58 : 194712512.000000	436465664.000000	524417568.000000	
HEX 59 : 16F46B40	10DA6AE0	BEF6	
DEC 59 : 385116992.000000	282749664.000000	48886.000000	
HEX 60 : B7D8690	CBD7DA0	6DAB0D0	
DEC 60 : 192775824.000000	213745056.000000	114995408.000000	
HEX 61 : D952D3	8B1AAD0	1502B980	
DEC 61 : 14242515.000000	145861328.000000	352500096.000000	
HEX 62 : 33505A4	E2EA000	C81CF40	
DEC 62 : 53806500.000000	237936640.000000	209833792.000000	
HEX 63 : 246DB4C	211B800	1B8E2840	
DEC 63 : 38198092.000000	34715648.000000	462301248.000000	
HEX 64 : 51582D0	7D59000	56D2C20	
DEC 64 : 85295824.000000	131436544.000000	91040800.000000	
HEX 65 : 1674F4C0	76C2530	12C27A20	
DEC 65 : 376763584.000000	124527920.000000	314735136.000000	
HEX 66 : 436A788	1B927100	1B734240	
DEC 66 : 70690696.000000	462582016.000000	460538432.000000	
HEX 67 : C880880	16362D2	1891E680	
DEC 67 : 210241664.000000	23290578.000000	412214912.000000	
HEX 68 : EE1FE20	16FAC6A0	9D6DB60	
DEC 68 : 249691680.000000	385533600.000000	165075808.000000	
HEX 69 : 6E2B788	1F4B41E0	D9DAA10	
DEC 69 : 115521416.000000	525025760.000000	228436496.000000	
HEX 70 : 152186A0	4907C40	500F440	
DEC 70 : 354518688.000000	76577856.000000	83948608.000000	
HEX 71 : 187E7000	10F44AE0	1305BF60	
DEC 71 : 410939392.000000	284445408.000000	319143776.000000	
HEX 72 : 187E72E0	D043C	B164	
DEC 72 : 410940128.000000	853052.000000	45412.000000	
HEX 73 : C7C5E20	4E9AF88	8989850	
DEC 73 : 209477152.000000	82423688.000000	144218192.000000	
HEX 74 : 1232FC40	CE575A0	1E73ABC0	
DEC 74 : 305331264.000000	216364448.000000	510897088.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
