Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
DEC 56 : 275980640.000000	300103072.000000	187734624.000000	
HEX 57 : 145E0F40	AA42000	172056A0	
DEC 57 : 341708608.000000	178528256.000000	387995296.000000	
HEX 58 : 11A26EE0	19DEA5A0	8EA5780	
DEC 58 : 295857888.000000	434021792.000000	149575552.000000	
HEX 59 : 15C2A1E0	CAED0F0	63FFE20	
DEC 59 : 365076960.000000	212783344.000000	104857120.000000	
HEX 60 : 1B37F900	79394B8	5388B48	
DEC 60 : 456653056.000000	127112376.000000	87591752.000000	
HEX 61 : 2A3EB88	1A097960	126DD6A0	
DEC 61 : 44297096.000000	436828512.000000	309188256.000000	
HEX 62 : 9B8FC00	1C27CA60	10FFB960	
DEC 62 : 163118080.000000	472369760.000000	285194592.000000	
HEX 63 : 5065388	17C4C960	7085968	
DEC 63 : 84300680.000000	398772576.000000	117987688.000000	
HEX 64 : 1CA21F80	EE350F0	41B9C40	
DEC 64 : 480386944.000000	249778416.000000	68918336.000000	
HEX 65 : 10176040	132BC3C	1BBBAA60	
DEC 65 : 269967424.000000	20102204.000000	465283680.000000	
HEX 66 : 1FFD63C0	185B4D20	FD38880	
DEC 66 : 536699840.000000	408636704.000000	265521280.000000	
HEX 67 : 1354F2A0	1D96AE20	14BD5880	
DEC 67 : 324334240.000000	496414240.000000	347953280.000000	
HEX 68 : 9F03480	301EA5C	1FAD6100	
DEC 68 : 166737024.000000	50457180.000000	531456256.000000	
HEX 69 : 3712C00	12071F00	12A023C0	
DEC 69 : 57748480.000000	302456576.000000	312484800.000000	
HEX 70 : 1D1D54C0	A6BBA60	E4B41E0	
DEC 70 : 488461504.000000	174832224.000000	239813088.000000	
HEX 71 : 1ED70E20	1CA1B4C	BCB64B0	
DEC 71 : 517410336.000000	30022476.000000	197878960.000000	
HEX 72 : 100A6840	1FB97B40	E4412D0	
DEC 72 : 269117504.000000	532249408.000000	239342288.000000	
HEX 73 : DCC98F0	A550D30	1D0EA4C0	
DEC 73 : 231512304.000000	173346096.000000	487498944.000000	
HEX 74 : 16852500	10EE4F00	126275A0	
DEC 74 : 377824512.000000	284053248.000000	308442528.000000	
HEX 75 : A6EA4F0	1DD4FC40	8C7FF10	
DEC 75 : 175023344.000000	500497472.000000	147324688.000000	
HEX 76 : 18A90A60	19CF7100	187C04C0	
DEC 76 : 413731424.000000	433025280.000000	410780864.000000	
HEX 77 : 8B706D0	45A0878	120C24C0	
DEC 77 : 146212560.000000	73009272.000000	302785728.000000	
