Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 56 : 1229E5A0	BD3B800	A2313C0	
DEC 56 : 304735648.000000	198424576.000000	170070976.000000	
HEX 57 : 1C0B0A60	7C74710	1A5B1B40	
DEC 57 : 470485600.000000	130500368.000000	442178368.000000	
HEX 58 : 2D5E1E0	143964C0	16E04C40	
DEC 58 : 47571424.000000	339305664.000000	383798336.000000	
HEX 59 : 134C72E0	10BC0F00	1360F3C0	
DEC 59 : 323777248.000000	280760064.000000	325120960.000000	
HEX 60 : 1392C880	199B5C40	12A6BA60	
DEC 60 : 328386688.000000	429612096.000000	312916576.000000	
HEX 61 : 93940F0	18387B40	B98C690	
DEC 61 : 154747120.000000	406354752.000000	194561680.000000	
HEX 62 : 35FE3C4	1270AF00	AFB0970	
DEC 62 : 56615876.000000	309374720.000000	184224112.000000	
HEX 63 : 13C0F000	1FF6AD2	F381E20	
DEC 63 : 331411456.000000	33516242.000000	255335968.000000	
HEX 64 : 62E0A58	1FFD04C0	11578F00	
DEC 64 : 103680600.000000	536675520.000000	290950912.000000	
HEX 65 : A277D30	150BE5A0	18A6E780	
DEC 65 : 170360112.000000	353101216.000000	413591424.000000	
HEX 66 : 1377AF00	6AD74B8	30DA968	
DEC 66 : 326610688.000000	112030904.000000	51226984.000000	
HEX 67 : 13889D20	DDC3C	175CF5A0	
DEC 67 : 327720224.000000	908348.000000	391968160.000000	
HEX 68 : 14D7AF00	820FD30	182EE780	
DEC 68 : 349679360.000000	136379696.000000	405727104.000000	
HEX 69 : 1AA38780	4856E98	10ED71E0	
DEC 69 : 446924672.000000	75853464.000000	283996640.000000	
HEX 70 : 139C7880	199FAF00	1DED2D2	
DEC 70 : 329021568.000000	429895424.000000	31380178.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
