Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 17BCCF00	DF02F10	1072CF00	
DEC 56 : 485793056.000000	212861168.000000	505876736.000000	
HEX 57 : 69DE258	134956A0	B0873C0	
DEC 57 : 111010392.000000	323573408.000000	185103296.000000	
HEX 58 : CB534B0	1219D2E	4F4C968	
DEC 58 : 213202096.000000	18980142.000000	83151208.000000	
HEX 59 : B1B6AD0	7901698	1AF26880	
DEC 59 : 186346192.000000	126883480.000000	452094080.000000	
HEX 60 : B5B4A60	E3BA0F0	8161710	
DEC 60 : 190532192.000000	238788848.000000	135665424.000000	
HEX 61 : 1478D220	11B35D20	16180CC0	
DEC 61 : 343462432.000000	296967456.000000	370674880.000000	
HEX 62 : 13DCC2E0	42CAA58	11E544C0	
DEC 62 : 333234912.000000	70036056.000000	300238016.000000	
HEX 63 : CDC89E0	3D55D2C	14A54C40	
DEC 63 : 215779808.000000	64314668.000000	346377280.000000	
HEX 64 : E39E570	14A2A5A	C646620	
DEC 64 : 238675312.000000	21637722.000000	207906336.000000	
HEX 65 : 13965AE0	BC7B4B0	1E76E880	
DEC 65 : 328620768.000000	197637296.000000	511109248.000000	
HEX 66 : 1CABF3C0	11F492E0	C6C0620	
DEC 66 : 481031104.000000	301241056.000000	208406048.000000	
HEX 67 : DF981E0	E69C2D0	18026E20	
DEC 67 : 234455520.000000	241812176.000000	402812448.000000	
HEX 68 : 132F3EE0	185791E0	A858800	
DEC 68 : 321863392.000000	408392160.000000	176523264.000000	
HEX 69 : 689E5A8	A4442D0	3DFA34C	
DEC 69 : 109700520.000000	172245712.000000	64987980.000000	
HEX 70 : 11519480	1143A3C0	4A095A8	
DEC 70 : 290559104.000000	289645504.000000	77632936.000000	
HEX 71 : 1E8AA9E0	114161E0	179C9440	
DEC 71 : 512403936.000000	289497568.000000	396137536.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
