Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : DC92F10	70B7310	1B94BDE0	
DEC 56 : 125924048.000000	230024848.000000	71428640.000000	
HEX 57 : 2A3ED2C	163F8F0	C63E080	
DEC 57 : 44297516.000000	23329008.000000	207872128.000000	
HEX 58 : 1301F960	1DF4A340	166E4920	
DEC 58 : 318896480.000000	502571840.000000	376326432.000000	
HEX 59 : 1729F10	126189A0	6B0DED0	
DEC 59 : 24289040.000000	308382112.000000	112254672.000000	
HEX 60 : 15FB2D2	F0DDDE0	E7CC750	
DEC 60 : 23048914.000000	252567008.000000	243058512.000000	
HEX 61 : D20C0F0	1EC6B88	30572D4	
DEC 61 : 220250352.000000	32271240.000000	50688724.000000	
HEX 62 : 14CC5880	4561620	1817E380	
DEC 62 : 348936320.000000	72750624.000000	404218752.000000	
HEX 63 : 8D8B0F0	1E3E9EA0	89E5BC0	
DEC 63 : 148418800.000000	507420320.000000	144595904.000000	
HEX 64 : 165EAC40	F7016D0	D28C620	
DEC 64 : 375303232.000000	259004112.000000	220775968.000000	
HEX 65 : 13C86A60	AF73040	67B41E0	
DEC 65 : 331901536.000000	183971904.000000	108741088.000000	
HEX 66 : 10D00F00	135B5440	1AC19AE0	
DEC 66 : 282070784.000000	324752448.000000	448895712.000000	
HEX 67 : 8FB51E0	16680DE0	80743C0	
DEC 67 : 150688224.000000	375918048.000000	134693824.000000	
HEX 68 : 1A011A60	1D86EB40	12C2AA60	
DEC 68 : 436279904.000000	495381312.000000	314747488.000000	
HEX 69 : AB414B0	390043C	1570FD00	
DEC 69 : 179573936.000000	59769916.000000	359726336.000000	
HEX 70 : 17DF2100	B7A0F80	143D9880	
DEC 70 : 400498944.000000	192548736.000000	339581056.000000	
HEX 71 : 165BF780	136A6C40	5CCCF88	
DEC 71 : 375125888.000000	325741632.000000	97308552.000000	
HEX 72 : 112F53C0	16EB5C80	1127878	
DEC 72 : 288314304.000000	384523392.000000	17987704.000000	
HEX 73 : 1E831C40	803BC40	CC9A380	
DEC 73 : 511908928.000000	134462528.000000	214541184.000000	
HEX 74 : 18E7D6A0	C0E5080	687B0F	
DEC 74 : 417846944.000000	202264704.000000	6847247.000000	
HEX 75 : 1C30B4C	1645C5E0	1D5C2880	
DEC 75 : 29559628.000000	373671392.000000	492578944.000000	
HEX 76 : 10957B40	19DD8DE0	1EDBB440	
DEC 76 : 278231872.000000	433950176.000000	517715008.000000	
HEX 77 : 1F26CB40	B023DE0	17090E20	
DEC 77 : 522636096.000000	184696288.000000	386469408.000000	
HEX 78 : 1DFEDD20	EC98130	104B8A20	
DEC 78 : 503242016.000000	248086832.000000	273386016.000000	
HEX 79 : 6080698	6EB3440	1B774A20	
DEC 79 : 101189272.000000	116077632.000000	460802592.000000	
HEX 80 : 8CD1970	1DA1B6A0	1D6605A0	
DEC 80 : 147659120.000000	497137312.000000	493225376.000000	
HEX 81 : 1B54DC40	CAC7C00	79BBA58	
DEC 81 : 458546240.000000	212630528.000000	127646296.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
