Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
DEC 56 : 321871872.000000	95017800.000000	398787840.000000	
HEX 57 : 9C59C40	8122B50	BCBE	
DEC 57 : 163945536.000000	135408464.000000	48318.000000	
HEX 58 : E9B7780	16808B40	135A0DE0	
DEC 58 : 245069696.000000	377523008.000000	324668896.000000	
HEX 59 : 64A8C40	48013C0	1751C880	
DEC 59 : 105548864.000000	75502528.000000	391235712.000000	
HEX 60 : 12E79960	22F50F0	BFF3	
DEC 60 : 317167968.000000	36655344.000000	49139.000000	
HEX 61 : 187E7000	875EA60	6152C88	
DEC 61 : 410939392.000000	141945440.000000	102050952.000000	
HEX 62 : 49DA2D0	2941788	C0B0	
DEC 62 : 77439696.000000	43259784.000000	49328.000000	
HEX 63 : 12FA5A	3E1D1E0	9E9E080	
DEC 63 : 1243738.000000	65130976.000000	166322304.000000	
HEX 64 : 18748F00	1DF1E960	61874D8	
DEC 64 : 410291968.000000	502393184.000000	102266072.000000	
HEX 65 : B4F3D30	D01A1E0	DEB5640	
DEC 65 : 189742384.000000	218210784.000000	233526848.000000	
HEX 66 : 187E7A60	F07A690	B78F	
DEC 66 : 410942048.000000	252159632.000000	46991.000000	
HEX 67 : CF275A0	2F82D2C	48A3470	
DEC 67 : 217216416.000000	49818924.000000	76166256.000000	
HEX 68 : B028780	1E5C73C0	D7CF730	
DEC 68 : 184715136.000000	509375424.000000	226293552.000000	
HEX 69 : 187E82E0	1E760F00	D9B6BA0	
DEC 69 : 410944224.000000	511053568.000000	228289440.000000	
HEX 70 : AF57000	1D5A3A60	15A81B00	
DEC 70 : 183857152.000000	492452448.000000	363338496.000000	
HEX 71 : 18784880	1658F960	F8BA510	
DEC 71 : 410536064.000000	374929760.000000	260810000.000000	
HEX 72 : D7DD3C0	2DEBE20	C0C8480	
DEC 72 : 226350016.000000	48152096.000000	202146944.000000	
HEX 73 : 12D5C3C	10C40A60	C071	
DEC 73 : 19749948.000000	281283168.000000	49265.000000	
HEX 74 : 187176A0	B7760F0	17784660	
DEC 74 : 410089120.000000	192372976.000000	393758304.000000	
HEX 75 : 15491E2	94AE3C0	E87BF1	
DEC 75 : 22319586.000000	155902912.000000	15236081.000000	
HEX 76 : B422E20	105AC6A0	161FC020	
DEC 76 : 188886560.000000	274384544.000000	371179552.000000	
HEX 77 : 4349D30	18224780	15A86F00	
DEC 77 : 70556976.000000	404899712.000000	363360000.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
