Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 1ECA7780	14FCA	FE3AB10	
DEC 56 : 75036312.000000	248179504.000000	488239424.000000	
HEX 57 : 1A71D960	159A8	3A09E7C	
DEC 57 : 443668832.000000	88488.000000	60857980.000000	
HEX 58 : 6E030F0	1FDBD000	5FC0700	
DEC 58 : 115355888.000000	534499328.000000	100402944.000000	
HEX 59 : 1C3C41E0	6C28500	1EDF7C40	
DEC 59 : 473711072.000000	113411328.000000	517962816.000000	
HEX 60 : 1C136960	1A808CC0	6B8776	
DEC 60 : 471034208.000000	444632256.000000	7047030.000000	
HEX 61 : 1E50F960	1DF21D60	1FAE5500	
DEC 61 : 508623200.000000	502406496.000000	531518720.000000	
HEX 62 : B554800	A0C31D0	15CE4A40	
DEC 62 : 190138368.000000	168571344.000000	365840960.000000	
HEX 63 : A2135A0	780BB28	6D34808	
DEC 63 : 169948576.000000	125877032.000000	114509832.000000	
HEX 64 : 1F9054C0	199053A0	8774490	
DEC 64 : 529552576.000000	428888992.000000	142034064.000000	
HEX 65 : E713C40	1E20C500	1FA4FC00	
DEC 65 : 242302016.000000	505464064.000000	530906112.000000	
HEX 66 : 5865078	1727D120	4DBBC	
DEC 66 : 92688504.000000	388485408.000000	318396.000000	
HEX 67 : 1B1C9E20	DB4D900	7B907C0	
DEC 67 : 454860320.000000	229955840.000000	129566656.000000	
HEX 68 : 1BF5C2E0	135F4300	2D63F30	
DEC 68 : 469091040.000000	325010176.000000	47595312.000000	
HEX 69 : 1720BD20	32CF3F0	15DF0FC0	
DEC 69 : 388021536.000000	53277680.000000	366940096.000000	
HEX 70 : 6182B48	1D213C00	17876760	
DEC 70 : 102247240.000000	488717312.000000	394749792.000000	
HEX 71 : BD6A970	E72EF80	92CF040	
DEC 71 : 198617456.000000	242413440.000000	153940032.000000	
HEX 72 : 82F0440	169B2	11336DA0	
DEC 72 : 137299008.000000	92594.000000	288583072.000000	
HEX 73 : EFEC530	1BC22260	183AF3A0	
DEC 73 : 251577648.000000	465707616.000000	406516640.000000	
HEX 74 : 162FB800	16779	1E844EA0	
DEC 74 : 372226048.000000	92025.000000	511987360.000000	
HEX 75 : C3D2530	163C6	1DC44FE0	
DEC 75 : 205333808.000000	91078.000000	499404768.000000	
HEX 76 : FA538F0	6C44B3	121E2C40	
DEC 76 : 262486256.000000	7095475.000000	303967296.000000	
HEX 77 : 2C4A0F0	1B5F0720	1EB53FC0	
DEC 77 : 46440688.000000	459212576.000000	515194816.000000	
HEX 78 : 1F4B4B	7ED35A8	1DF4CBA0	
DEC 78 : 2050891.000000	132986280.000000	502582176.000000	
HEX 79 : 164DCB4	146128C	196060A0	
DEC 79 : 23387316.000000	21369484.000000	425746592.000000	
