Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : C9B8F1	F6DCC40	1713B880	
HEX 56 : 1461AB40	100725A0	6AF22D0	
DEC 56 : 341945152.000000	268903840.000000	112141008.000000	
HEX 57 : A1C3800	1239A900	F19A5A	
DEC 57 : 169621504.000000	305768704.000000	15833690.000000	
HEX 58 : 1244DEA0	6414AD0	4A011E0	
DEC 58 : 306503328.000000	104942288.000000	77599200.000000	
HEX 59 : 69CFB48	28E2AD4	18CDE6A0	
DEC 59 : 110951240.000000	42871508.000000	416147104.000000	
HEX 60 : 3DBBCB4	178159E0	18ACD4C0	
DEC 60 : 64732340.000000	394353120.000000	413979840.000000	
HEX 61 : 15653800	19BEC5A0	13A093C0	
DEC 61 : 358955008.000000	431932832.000000	329290688.000000	
HEX 62 : 11895620	17CEF260	99842D0	
DEC 62 : 294213152.000000	399438432.000000	160973520.000000	
HEX 63 : FF32690	10A54960	ED732D0	
DEC 63 : 267593360.000000	279267680.000000	248984272.000000	
HEX 64 : DA01D30	58C6710	19E10F00	
DEC 64 : 228597040.000000	93087504.000000	434179840.000000	
HEX 65 : B1F4440	5E3BCB8	248C968	
DEC 65 : 186598464.000000	98811064.000000	38324584.000000	
HEX 66 : F48DE20	1BA75620	FA9F1E0	
DEC 66 : 256433696.000000	463951392.000000	262795744.000000	
HEX 67 : 1B5052E	7E7FE98	AD75690	
DEC 67 : 28640558.000000	132644504.000000	181884560.000000	
HEX 68 : AD2E440	1B1B43C0	8B9FA60	
DEC 68 : 181593152.000000	454771648.000000	146405984.000000	
HEX 69 : 735E3C0	D2F6BC0	5BA2B48	
DEC 69 : 120972224.000000	221211584.000000	96086856.000000	
HEX 70 : 1653E900	379D698	18DA8000	
DEC 70 : 374597888.000000	58316440.000000	416972800.000000	
HEX 71 : FE0E0F0	1CFEBEA0	246BA5C	
DEC 71 : 266395888.000000	486456992.000000	38189660.000000	
HEX 72 : 11315100	1CF62C40	18FBA100	
DEC 72 : 288444672.000000	485895232.000000	419143936.000000	
HEX 73 : 551E800	1250D1E0	11CD7D20	
DEC 73 : 89253888.000000	307286496.000000	298679584.000000	
HEX 74 : 179D9620	4D8AF88	9BC7A60	
DEC 74 : 396203552.000000	81309576.000000	163347040.000000	
HEX 75 : BFCC170	15A9ED20	12D111E0	
DEC 75 : 201113968.000000	363457824.000000	315691488.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
