Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
DEC 57 : 186624128.000000	78383.000000	267431568.000000	
HEX 58 : 178EA1E0	D959E70	FA2E800	
DEC 58 : 395223520.000000	227909232.000000	262334464.000000	
HEX 59 : 127E41E0	120BC580	2B11680	
DEC 59 : 310264288.000000	302761344.000000	45160064.000000	
HEX 60 : 187F2A60	168FE120	2309754	
DEC 60 : 410987104.000000	378528032.000000	36738900.000000	
HEX 61 : CF211E0	F956A20	117E6E00	
DEC 61 : 217190880.000000	261450272.000000	293498368.000000	
HEX 62 : 18765B40	77685D8	13ED0920	
DEC 62 : 410409792.000000	125208024.000000	334301472.000000	
HEX 63 : 4C171E0	15F94	15219160	
DEC 63 : 79786464.000000	90004.000000	354521440.000000	
HEX 64 : 187FD3C0	DE45880	17FEE800	
DEC 64 : 411030464.000000	233068672.000000	402581504.000000	
HEX 65 : AFCC1E0	1DA604A0	159A2200	
DEC 65 : 184336864.000000	497419424.000000	362422784.000000	
HEX 66 : 187E76A0	1F3B0100	1D6373E0	
DEC 66 : 410941088.000000	523960576.000000	493056992.000000	
HEX 67 : 6EC9000	16AEE	4C45748	
DEC 67 : 116166656.000000	92910.000000	79976264.000000	
HEX 68 : 8CF7A60	198E9E40	3B75DA8	
DEC 68 : 147815008.000000	428777024.000000	62348712.000000	
HEX 69 : 12B12A60	C332FC0	1C7AC120	
DEC 69 : 313600608.000000	204681152.000000	477806880.000000	
HEX 70 : 61FC968	1BBAD8A0	1B0541A0	
DEC 70 : 102746472.000000	465229984.000000	453329312.000000	
HEX 71 : 12ABE100	490C1E8	60BEFB0	
DEC 71 : 313254144.000000	76595688.000000	101445552.000000	
HEX 72 : 93A1A60	14322DE0	19D6B7E0	
DEC 72 : 154802784.000000	338832864.000000	433502176.000000	
HEX 73 : 13344D20	905AC40	59CE	
DEC 73 : 322194720.000000	151366720.000000	22990.000000	
HEX 74 : 5BAAF10	6266280	1C28D7E0	
DEC 74 : 96120592.000000	103178880.000000	472438752.000000	
HEX 75 : 1213F6A0	B56D7C0	15017CC0	
DEC 75 : 303298208.000000	190240704.000000	352419008.000000	
HEX 76 : 82A969	102ACA	1B597240	
DEC 76 : 8563049.000000	1059530.000000	458846784.000000	
HEX 77 : ED804B0	125462A0	1E8E3700	
DEC 77 : 249038000.000000	307520160.000000	512636672.000000	
HEX 78 : 187EDB40	12F78	77336D8	
DEC 78 : 410966848.000000	77688.000000	124991192.000000	
HEX 79 : 187E73C0	1574C100	14335E20	
DEC 79 : 410940352.000000	359973120.000000	338910752.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
