Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
DEC 56 : 526149280.000000	242640768.000000	389718016.000000	
HEX 57 : 15A1878	5A03F10	4CDCC40	
DEC 57 : 22681720.000000	94387984.000000	80596032.000000	
HEX 58 : 2D8943C	32881E0	BC70970	
DEC 58 : 47748156.000000	52986336.000000	197593456.000000	
HEX 59 : A6218F0	D804D30	4D7F788	
DEC 59 : 174201072.000000	226512176.000000	81262472.000000	
HEX 60 : 145D8160	46E2620	1DEAD700	
DEC 60 : 341672288.000000	74327584.000000	501929728.000000	
HEX 61 : 2C48E20	D07DBC0	7212F88	
DEC 61 : 46435872.000000	218618816.000000	119615368.000000	
HEX 62 : A151B50	2B16000	F9F4BC0	
DEC 62 : 169155408.000000	45178880.000000	262097856.000000	
HEX 63 : 13EDCF80	1BDE53C0	1E9425A	
DEC 63 : 334352256.000000	467555264.000000	32064090.000000	
HEX 64 : 10E55800	8FED1E0	5434258	
DEC 64 : 283465728.000000	150917600.000000	88293976.000000	
HEX 65 : 1719C620	78C79E0	176F9BC0	
DEC 65 : 387565088.000000	126646752.000000	393190336.000000	
HEX 66 : 191A8780	AB17AD0	410B258	
DEC 66 : 421169024.000000	179403472.000000	68203096.000000	
HEX 67 : 1DEB25A	C292E20	17EB65A0	
DEC 67 : 31371866.000000	204025376.000000	401302944.000000	
HEX 68 : 240452C	A3680F0	E5732D0	
DEC 68 : 37766444.000000	171344112.000000	240595664.000000	
HEX 69 : 54BAE98	1B44C340	1AFE16A	
DEC 69 : 88845976.000000	457491264.000000	28303722.000000	
HEX 70 : 15C373C0	1A059CC0	1BA63260	
DEC 70 : 365130688.000000	436575424.000000	463876704.000000	
HEX 71 : 67A5A58	10493800	CF26170	
DEC 71 : 108681816.000000	273233920.000000	217211248.000000	
HEX 72 : 1A8363C0	1FA27CC0	1A072C40	
DEC 72 : 444818368.000000	530742464.000000	436677696.000000	
HEX 73 : E1E9800	D87C1E0	B616AD0	
DEC 73 : 236886016.000000	227000800.000000	190933712.000000	
HEX 74 : 1C844B4	182F4EA0	1332FF80	
DEC 74 : 29902004.000000	405753504.000000	322109312.000000	
HEX 75 : 832F620	7D5FCB8	94BD970	
DEC 75 : 137557536.000000	131464376.000000	155965808.000000	
HEX 76 : D828A60	9303C4	1E4E0EA0	
DEC 76 : 226658912.000000	9634756.000000	508432032.000000	
HEX 77 : 4CEBD30	134B5E20	1AD00F00	
DEC 77 : 80657712.000000	323706400.000000	449842944.000000	
HEX 78 : 1D1993C0	1CD19B40	12C35880	
DEC 78 : 488215488.000000	483498816.000000	314792064.000000	
HEX 79 : 12A66C40	D249530	19CCD960	
DEC 79 : 312896576.000000	220501296.000000	432855392.000000	
HEX 80 : C51CD30	13074F00	1A6003C0	
DEC 80 : 206687536.000000	319246080.000000	442500032.000000	
HEX 81 : 15959780	1D42D6A0	14DAC340	
DEC 81 : 362125184.000000	490919584.000000	349881152.000000	
HEX 82 : 13F16160	1043D960	5977A58	
DEC 82 : 334586208.000000	272882016.000000	93813336.000000	
HEX 83 : 15C59DA0	139A9620	16DB9B40	
DEC 83 : 365272480.000000	328898080.000000	383490880.000000	
HEX 84 : 4D190F0	B05E8F0	1EC0DF80	
DEC 84 : 80842992.000000	184936688.000000	515956608.000000	
85 : 0.000000	0.000000	0.000000	
