Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 260737744.000000	535954976.000000	398481152.000000	
HEX 57 : 50FD258	1CE2F58	15185340	
DEC 57 : 84922968.000000	30289752.000000	353915712.000000	
HEX 58 : 17CC0260	16C2A	1F170440	
DEC 58 : 399245920.000000	93226.000000	521602112.000000	
HEX 59 : 1E64C1E0	1FAB02A0	184FFAA0	
DEC 59 : 509919712.000000	531301024.000000	407894688.000000	
HEX 60 : 1D6E35A0	174E09C0	1000C260	
DEC 60 : 493761952.000000	390990272.000000	268485216.000000	
HEX 61 : B994D30	158B4260	1B362380	
DEC 61 : 194596144.000000	361448032.000000	456532864.000000	
HEX 62 : 13AEF520	5330708	BF31260	
DEC 62 : 330233120.000000	87230216.000000	200479328.000000	
HEX 63 : 1A086F00	11D6E500	1AC3CD00	
DEC 63 : 436760320.000000	299296000.000000	449039616.000000	
HEX 64 : 152AA080	1A96EAC0	1B21F8C0	
DEC 64 : 355115136.000000	446098112.000000	455211200.000000	
HEX 65 : 1AB53100	16A30	14954900	
DEC 65 : 448082176.000000	92720.000000	345327872.000000	
HEX 66 : 21344B4	AD5A110	A680290	
DEC 66 : 34817204.000000	181772560.000000	174588560.000000	
HEX 67 : AA84CB0	16AAF	520D568	
DEC 67 : 178801840.000000	92847.000000	86037864.000000	
HEX 68 : 19244880	D227790	200B4B4	
DEC 68 : 421808256.000000	220362640.000000	33600692.000000	
HEX 69 : 19140E20	16C2A	B2ADB50	
DEC 69 : 420744736.000000	93226.000000	187358032.000000	
HEX 70 : 1B625780	62815C0	FCE5D70	
DEC 70 : 459429760.000000	103290304.000000	265182576.000000	
HEX 71 : 3D43698	1ACFEFE0	7BD9DE0	
DEC 71 : 64239256.000000	449834976.000000	129867232.000000	
HEX 72 : F049E20	11C74F20	EF6B880	
DEC 72 : 251960864.000000	298274592.000000	251050112.000000	
HEX 73 : 408A0F0	14AE1640	1EB8CB4	
DEC 73 : 67674352.000000	346953280.000000	32214196.000000	
HEX 74 : 15080000	1811A960	121B3660	
DEC 74 : 352845824.000000	403810656.000000	303773280.000000	
HEX 75 : BB1C440	16AEE	1BBE04C0	
DEC 75 : 196199488.000000	92910.000000	465437888.000000	
HEX 76 : D23ACB0	6519EC8	865DE90	
DEC 76 : 220441776.000000	106012360.000000	140893840.000000	
HEX 77 : 8C66350	51504C8	E6C19E0	
DEC 77 : 147219280.000000	85263560.000000	241965536.000000	
HEX 78 : 1548710	55A8700	F83C9A0	
DEC 78 : 22316816.000000	89818880.000000	260295072.000000	
HEX 79 : 128FD080	2B2A1C0	1A3B3560	
DEC 79 : 311414912.000000	45261248.000000	440087904.000000	
HEX 80 : 947C8F0	1B793380	CE45D30	
DEC 80 : 155699440.000000	460927872.000000	216292656.000000	
HEX 81 : 11079C40	5180598	9174B5	
DEC 81 : 285711424.000000	85460376.000000	9532597.000000	
HEX 82 : 1732EBC0	199225E0	B0DC690	
DEC 82 : 389213120.000000	429008352.000000	185452176.000000	
HEX 83 : 11C84900	7FDD3A8	1F875880	
DEC 83 : 298338560.000000	134075304.000000	528963712.000000	
HEX 84 : 13E2C340	159A8	11659960	
DEC 84 : 333628224.000000	88488.000000	291871072.000000	
HEX 85 : 17565EA0	110A73C0	13834DA0	
DEC 85 : 391536288.000000	285897664.000000	327372192.000000	
HEX 86 : 187A3780	3B9BCDC	4A62698	
DEC 86 : 410662784.000000	62504156.000000	77997720.000000	
HEX 87 : 3D16AD4	3A3E260	1C7C6F80	
DEC 87 : 64056020.000000	61071968.000000	477917056.000000	
HEX 88 : F93D3C0	FEC2640	6C9AA58	
DEC 88 : 261346240.000000	267134528.000000	113879640.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
