Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1E0C5D20	54B5B18	491B168	
DEC 56 : 451515808.000000	414027776.000000	197455872.000000	
HEX 57 : 174F7960	36816E8	E6605A0	
DEC 57 : 391084384.000000	57153256.000000	241567136.000000	
HEX 58 : 1EFBF10	27734C4	1961C700	
DEC 58 : 32489232.000000	41366724.000000	425838336.000000	
HEX 59 : 1499CC40	9CCBB10	114F5700	
DEC 59 : 345623616.000000	164412176.000000	290412288.000000	
HEX 60 : 6C7E0F0	72AF538	1DB89E2	
DEC 60 : 113762544.000000	120255800.000000	31164898.000000	
HEX 61 : 3870B4C	1667D	12722900	
DEC 61 : 59181900.000000	91773.000000	309471488.000000	
HEX 62 : 14F2B100	4B11348	5D4E710	
DEC 62 : 351449344.000000	78713672.000000	97838864.000000	
HEX 63 : 1024FC40	19E91520	65408F0	
DEC 63 : 270859328.000000	434705696.000000	106170608.000000	
HEX 64 : 120346A0	DBA8100	9C460F0	
DEC 64 : 302204576.000000	230326528.000000	163864816.000000	
HEX 65 : C321880	12DEA000	C582BC0	
DEC 65 : 204609664.000000	316579840.000000	207104960.000000	
HEX 66 : DE941E0	77B2C88	C996B50	
DEC 66 : 233390560.000000	125512840.000000	211381072.000000	
HEX 67 : 14D6EA60	E0947B0	1787A1E0	
DEC 67 : 349629024.000000	235489200.000000	394764768.000000	
HEX 68 : 10E7B2E0	F9C7890	1EB1DA6	
DEC 68 : 283620064.000000	261912720.000000	32185766.000000	
HEX 69 : 1799BC40	B996F70	2C58000	
DEC 69 : 395951168.000000	194604912.000000	46497792.000000	
HEX 70 : 63242D0	19261880	3EA0F10	
DEC 70 : 103957200.000000	421927040.000000	65670928.000000	
HEX 71 : 14597100	64EBD98	17F9CCC0	
DEC 71 : 341405952.000000	105823640.000000	402246848.000000	
HEX 72 : F71FB50	10F8AEA	1AF01800	
DEC 72 : 259128144.000000	17795818.000000	451942400.000000	
HEX 73 : BD98E20	EBFA3C0	18739880	
DEC 73 : 198807072.000000	247440320.000000	410228864.000000	
HEX 74 : 1F0961E0	1EC8B960	1FE79080	
DEC 74 : 520708576.000000	516471136.000000	535269504.000000	
HEX 75 : CCCC000	1A608120	EB994B0	
DEC 75 : 214745088.000000	442532128.000000	247043248.000000	
HEX 76 : 936C880	1B95CA0	DD15800	
DEC 76 : 154585216.000000	28925088.000000	231823360.000000	
HEX 77 : B74B690	13DAE320	4EAA078	
DEC 77 : 192198288.000000	333112096.000000	82485368.000000	
HEX 78 : A73D970	166FB	1566CA60	
DEC 78 : 175364464.000000	91899.000000	359058016.000000	
HEX 79 : AE190F0	1B613EC0	17A00F00	
DEC 79 : 182554864.000000	459357888.000000	396365568.000000	
HEX 80 : D901000	5B98AC0	4CAE258	
DEC 80 : 227545088.000000	96045760.000000	80405080.000000	
HEX 81 : 1126C1E0	1EDBBA60	13EECD20	
DEC 81 : 287752672.000000	517716576.000000	334417184.000000	
HEX 82 : 1B5A71E0	12D646A0	1D5F4C40	
DEC 82 : 458912224.000000	316032672.000000	492784704.000000	
HEX 83 : 1CC37D20	1FA5D660	DEF2260	
DEC 83 : 482573600.000000	530962016.000000	233775712.000000	
HEX 84 : 6473E20	17DF2440	B9438F0	
DEC 84 : 105332256.000000	400499776.000000	194263280.000000	
HEX 85 : 1FA8C3C0	C916AF0	5A90710	
DEC 85 : 531153856.000000	210856688.000000	94963472.000000	
HEX 86 : 1750AA60	16091	151DAEA0	
DEC 86 : 391162464.000000	90257.000000	354266784.000000	
HEX 87 : 11ED6C40	F6071E0	1ED209E0	
DEC 87 : 300772416.000000	257978848.000000	517081568.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
