Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 1C0B6BE0	1D4A63C0	A0009A0	
HEX 57 : 1D24C300	23D4B4	10ADAEE0	
DEC 57 : 488948480.000000	2348212.000000	279817952.000000	
HEX 58 : 1EC43780	3197968	80A471	
DEC 58 : 516175744.000000	52001128.000000	8430705.000000	
HEX 59 : 23F48A0	41E53C0	3A6659C	
DEC 59 : 37701792.000000	69096384.000000	61236636.000000	
HEX 60 : 6668F20	3453F10	164ACB80	
DEC 60 : 107384608.000000	54869776.000000	374000512.000000	
HEX 61 : 1FDBAD00	1C0EC2E0	16B36EA0	
DEC 61 : 534490368.000000	470729440.000000	380858016.000000	
HEX 62 : 15FFA100	2068000	1D1B77A0	
DEC 62 : 369074432.000000	33980416.000000	488339360.000000	
HEX 63 : 14BEEA80	50E11E0	BFF3	
DEC 63 : 348056192.000000	84808160.000000	49139.000000	
HEX 64 : 180FC280	BD44970	6C0A5A0	
DEC 64 : 403686016.000000	198461808.000000	113288608.000000	
HEX 65 : 7A81BC0	81C1000	C032	
DEC 65 : 128457664.000000	136056832.000000	49202.000000	
HEX 66 : 147EC500	B1B9E20	1B3D1EC0	
DEC 66 : 343852288.000000	186359328.000000	456990400.000000	
HEX 67 : 7B88BE0	15324E20	1DA415C0	
DEC 67 : 129534944.000000	355618336.000000	497292736.000000	
HEX 68 : 3960A74	181F93C0	17C6C060	
DEC 68 : 60164724.000000	404722624.000000	398901344.000000	
HEX 69 : 104C6B00	17CC4000	1CA2EC60	
DEC 69 : 273443584.000000	399261696.000000	480439392.000000	
HEX 70 : 7F03A98	8AC0A60	7818AA8	
DEC 70 : 133184152.000000	145492576.000000	125930152.000000	
HEX 71 : 662CA	1E25C4C0	14FF7BC0	
DEC 71 : 418506.000000	505791680.000000	352287680.000000	
HEX 72 : 8BBAB50	5EC5698	FA46420	
DEC 72 : 146516816.000000	99374744.000000	262431776.000000	
HEX 73 : 11A1BA80	1094CA60	11421B80	
DEC 73 : 295811712.000000	278186592.000000	289545088.000000	
HEX 74 : 5F777	309CA5C	1A5971A0	
DEC 74 : 391031.000000	50973276.000000	442069408.000000	
HEX 75 : 9A44120	E0DDD30	1F0D2E20	
DEC 75 : 161759520.000000	235789616.000000	520957472.000000	
HEX 76 : 5F6BA	C371E2	132BFD20	
DEC 76 : 390842.000000	12808674.000000	321649952.000000	
HEX 77 : 6C1A6B8	10593960	16607740	
DEC 77 : 113354424.000000	274282848.000000	375420736.000000	
HEX 78 : 174930C0	10DDF5A0	C4B5630	
DEC 78 : 390672576.000000	282981792.000000	206263856.000000	
HEX 79 : 15D8F600	AE54000	13D56800	
DEC 79 : 366540288.000000	182796288.000000	332752896.000000	
HEX 80 : 1AC51AC0	154221E0	7447218	
DEC 80 : 449125056.000000	356655584.000000	121926168.000000	
HEX 81 : 5F738	18F07B40	8E265E0	
DEC 81 : 390968.000000	418413376.000000	149054944.000000	
HEX 82 : 60CEE	118F6C40	A618D60	
DEC 82 : 396526.000000	294612032.000000	174165344.000000	
HEX 83 : 3814844	1C830B40	E862BE0	
DEC 83 : 58804292.000000	478350144.000000	243674080.000000	
HEX 84 : 1B9E5440	15DAFE20	173362E0	
DEC 84 : 463361088.000000	366673440.000000	389243616.000000	
HEX 85 : 2B89A34	9B46D30	181EAB40	
DEC 85 : 45652532.000000	162819376.000000	404663104.000000	
HEX 86 : 771D688	1F3DCC40	1454C160	
DEC 86 : 124901000.000000	524143680.000000	341098848.000000	
HEX 87 : 13E7D480	1200D000	526B9D8	
DEC 87 : 333960320.000000	302043136.000000	86424024.000000	
HEX 88 : 13B9B080	A1564B0	CA7BD10	
DEC 88 : 330936448.000000	169174192.000000	212319504.000000	
HEX 89 : 1D2128A0	120504C0	10E67B80	
DEC 89 : 488712352.000000	302318784.000000	283540352.000000	
HEX 90 : 106180E0	65561E0	16484780	
DEC 90 : 274825440.000000	106258912.000000	373835648.000000	
HEX 91 : 143EA100	145551E0	173D8C40	
DEC 91 : 339648768.000000	341135840.000000	389909568.000000	
HEX 92 : 13F24F80	1E248E20	C539E00	
DEC 92 : 334647168.000000	505712160.000000	206806528.000000	
HEX 93 : 12EF3800	1B74E880	1504E900	
DEC 93 : 317667328.000000	460646528.000000	352643328.000000	
HEX 94 : 1F55A840	100AD000	3E5D72C	
DEC 94 : 525707328.000000	269144064.000000	65394476.000000	
HEX 95 : 1BB99F00	695F3C0	15D71660	
DEC 95 : 465149696.000000	110490560.000000	366417504.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
