Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 10F9EEE0	83BDDA0	18B251E0	
HEX 56 : 5F63B	FC9D3C0	1A992F00	
DEC 56 : 390715.000000	264885184.000000	446246656.000000	
HEX 57 : 1DD65C00	25BB1E0	2FA92D4	
DEC 57 : 500587520.000000	39563744.000000	49976020.000000	
HEX 58 : 110F752	173B2CC0	1B0E4F00	
DEC 58 : 17889106.000000	389754048.000000	453922560.000000	
HEX 59 : F990C80	1543EEA0	5CE6F10	
DEC 59 : 261688448.000000	356773536.000000	97414928.000000	
HEX 60 : 19C18CE0	1F47D960	BE44780	
DEC 60 : 432114912.000000	524802400.000000	199509888.000000	
HEX 61 : 5F9AF	2071D2C	1376BAE0	
DEC 61 : 391599.000000	34020652.000000	326548192.000000	
HEX 62 : 12DBBC8	139FF780	14393960	
DEC 62 : 19774408.000000	329250688.000000	339294560.000000	
HEX 63 : 1F366260	19628960	138542E0	
DEC 63 : 523657824.000000	425888096.000000	327500512.000000	
HEX 64 : DB6E190	1A690100	1403DEA0	
DEC 64 : 230089104.000000	443089152.000000	335797920.000000	
HEX 65 : 14EAD140	19F32C40	9AFE000	
DEC 65 : 350933312.000000	435366976.000000	162521088.000000	
HEX 66 : 13D263C0	F110690	9AF1530	
DEC 66 : 332555200.000000	252774032.000000	162469168.000000	
HEX 67 : 1E23EC40	1835F5A0	BA05620	
DEC 67 : 505670720.000000	406189472.000000	195057184.000000	
HEX 68 : AAC6480	F98F0F	10BE7160	
DEC 68 : 179070080.000000	16355087.000000	280916320.000000	
HEX 69 : D233460	1BC8FB40	1D63E6A0	
DEC 69 : 220410976.000000	466156352.000000	493086368.000000	
HEX 70 : 121E73C0	14BD4160	E58B4B0	
DEC 70 : 303985600.000000	347947360.000000	240694448.000000	
HEX 71 : 1C037A40	163E9260	19F86F80	
DEC 71 : 469989952.000000	373199456.000000	435711872.000000	
HEX 72 : E638040	D0903C0	1DE321E0	
DEC 72 : 241401920.000000	218694592.000000	501424608.000000	
HEX 73 : 6332E08	F5FB780	1CDB800	
DEC 73 : 104017416.000000	257931136.000000	30259200.000000	
HEX 74 : 124F2A6	1DCF4A60	16CBCD20	
DEC 74 : 19198630.000000	500124256.000000	382455072.000000	
HEX 75 : 77E89D8	F715000	1B77C9E0	
DEC 75 : 125733336.000000	259084288.000000	460835296.000000	
HEX 76 : 348A25	38E8800	B957710	
DEC 76 : 3443237.000000	59672576.000000	194344720.000000	
HEX 77 : 14B64700	DDFF5A0	111D2800	
DEC 77 : 347490048.000000	232781216.000000	287123456.000000	
HEX 78 : B337E80	1C85BC4	1873FD20	
DEC 78 : 187924096.000000	29907908.000000	410254624.000000	
HEX 79 : 1E235080	476E530	D542CB0	
DEC 79 : 505630848.000000	74900784.000000	223620272.000000	
HEX 80 : 1386B460	F43C440	221925C	
DEC 80 : 327595104.000000	256099392.000000	35754588.000000	
HEX 81 : CDF5120	52D3698	1EF68AE0	
DEC 81 : 215961888.000000	86849176.000000	519473888.000000	
HEX 82 : B1DEB10	1693D5A0	C469F10	
DEC 82 : 186510096.000000	378787232.000000	205954832.000000	
HEX 83 : 4907B98	16EEF700	8957D30	
DEC 83 : 76577688.000000	384759552.000000	144014640.000000	
HEX 84 : 7C73DB8	1EE71C40	12D3DD20	
DEC 84 : 130497976.000000	518462528.000000	315874592.000000	
HEX 85 : 528CE48	32E35A4	1FDB3A60	
DEC 85 : 86560328.000000	53360036.000000	534461024.000000	
HEX 86 : 1698E9A0	CC31780	1AD6DAE0	
DEC 86 : 379120032.000000	214112128.000000	450288352.000000	
HEX 87 : 621F120	66CA968	1344C700	
DEC 87 : 102887712.000000	107784552.000000	323274496.000000	
HEX 88 : 5F8B3	6906B48	2F2E8F0	
DEC 88 : 391347.000000	110127944.000000	49473776.000000	
HEX 89 : B5E47C0	C579F10	15CE0260	
DEC 89 : 190728128.000000	207068944.000000	365822560.000000	
HEX 90 : 5F7F5	1319E880	3F5AAD4	
DEC 90 : 391157.000000	320465024.000000	66431700.000000	
HEX 91 : 5B56328	F3DB000	950D710	
DEC 91 : 95773480.000000	255700992.000000	156292880.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
