Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 8C2CE20	7BD69A8	12CDE000	
DEC 56 : 453546720.000000	470504800.000000	411552000.000000	
HEX 57 : 14640B40	18E14C80	16EE9F80	
DEC 57 : 342100800.000000	417418368.000000	384737152.000000	
HEX 58 : AE29780	1AF86740	1526D260	
DEC 58 : 182622080.000000	452486976.000000	354865760.000000	
HEX 59 : 1BE041E0	8CF3DE0	CB829E0	
DEC 59 : 467681760.000000	147799520.000000	213395936.000000	
HEX 60 : 12B4A000	174F8000	701E0F0	
DEC 60 : 313827328.000000	391086080.000000	117563632.000000	
HEX 61 : CD211E0	14C6CEE0	11553100	
DEC 61 : 215093728.000000	348573408.000000	290795776.000000	
HEX 62 : 161F2000	1C84F1E0	1E379AE0	
DEC 62 : 371138560.000000	478474720.000000	506960608.000000	
HEX 63 : 1C307A60	14116340	3CECB4C	
DEC 63 : 472939104.000000	336683840.000000	63884108.000000	
HEX 64 : 13C05000	CDCE9E0	1C1BB440	
DEC 64 : 331370496.000000	215804384.000000	471577664.000000	
HEX 65 : AD57970	1A573700	489C8F0	
DEC 65 : 181762416.000000	441923328.000000	76138736.000000	
HEX 66 : BD51E2	155752E	1EE62B40	
DEC 66 : 12407266.000000	22377774.000000	518400832.000000	
HEX 67 : 16CAC1E0	1466DDA0	1CB56900	
DEC 67 : 382386656.000000	342285728.000000	481650944.000000	
HEX 68 : 1DED5000	1DC081E0	44C4788	
DEC 68 : 502091776.000000	499155424.000000	72107912.000000	
HEX 69 : 7162D30	618C5A8	1E5A8880	
DEC 69 : 118893872.000000	102286760.000000	509249664.000000	
HEX 70 : 580DE20	17C55340	1A12A700	
DEC 70 : 92331552.000000	398807872.000000	437430016.000000	
HEX 71 : B05D780	1226CB00	18AF0960	
DEC 71 : 184932224.000000	304532224.000000	414124384.000000	
HEX 72 : 9FD2D	179A28C0	9F8C780	
DEC 72 : 654637.000000	395978944.000000	167298944.000000	
HEX 73 : 1B63D2E0	E2F9880	1ACD4A60	
DEC 73 : 459526880.000000	238000256.000000	449661536.000000	
HEX 74 : 50EF3C0	124D9400	BD1FDA0	
DEC 74 : 84865984.000000	307074048.000000	198311328.000000	
HEX 75 : 1928B4C	668EF10	11008000	
DEC 75 : 26381132.000000	107540240.000000	285245440.000000	
HEX 76 : 13D1AF00	5CA2D30	1819C520	
DEC 76 : 332508928.000000	97135920.000000	404342048.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
