Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 19EAECC0	1FA90D20	73AE000	
DEC 56 : 383588096.000000	180170992.000000	151112528.000000	
HEX 57 : A05CF10	10804B4	23EBE20	
DEC 57 : 168152848.000000	17302708.000000	37666336.000000	
HEX 58 : 9B9969	17AB44C0	12E36880	
DEC 58 : 10197353.000000	397100224.000000	316893312.000000	
HEX 59 : 1733D2E	8070A60	1562B780	
DEC 59 : 24329518.000000	134679136.000000	358791040.000000	
HEX 60 : 62FAF88	1CE1F880	EE53780	
DEC 60 : 103788424.000000	484571264.000000	249902976.000000	
HEX 61 : 5F5D0F0	454D878	109F4960	
DEC 61 : 99995888.000000	72669304.000000	278874464.000000	
HEX 62 : EA4BDA0	3A964B4	8D4DC40	
DEC 62 : 245677472.000000	61433012.000000	148167744.000000	
HEX 63 : 134182E0	1DB3C960	19141960	
DEC 63 : 323060448.000000	498321760.000000	420747616.000000	
HEX 64 : 1C838BC0	E4B41E0	C7D5970	
DEC 64 : 478383040.000000	239813088.000000	209541488.000000	
HEX 65 : 8EBA690	DE0F000	5898788	
DEC 65 : 149661328.000000	232845312.000000	92899208.000000	
HEX 66 : 1CCD9340	226C788	16E782E0	
DEC 66 : 483234624.000000	36095880.000000	384271072.000000	
HEX 67 : E8CE170	7C7A3C0	10126B40	
DEC 67 : 244113776.000000	130524096.000000	269642560.000000	
HEX 68 : 1BBD3D20	2F94E20	F7F0000	
DEC 68 : 465386784.000000	49892896.000000	259981312.000000	
HEX 69 : 1A170620	EF7C970	2B4D968	
DEC 69 : 437716512.000000	251119984.000000	45406568.000000	
HEX 70 : 13648DA0	12C7C880	89E969	
DEC 70 : 325356960.000000	315082880.000000	9038185.000000	
HEX 71 : 11F85EA0	164A5F00	1966CA60	
DEC 71 : 301489824.000000	373972736.000000	426166880.000000	
HEX 72 : 1E8F32E0	158A36A0	C8E6880	
DEC 72 : 512701152.000000	361379488.000000	210659456.000000	
HEX 73 : 17F35A60	A461690	10EDC3C0	
DEC 73 : 401824352.000000	172365456.000000	284017600.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
