Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 57 : 1BCB2A60	1974FA60	EBA3D30	
DEC 57 : 466299488.000000	427096672.000000	247086384.000000	
HEX 58 : 1A9EEA20	11C04560	D5B8690	
DEC 58 : 446622240.000000	297813344.000000	224102032.000000	
HEX 59 : 84BDE60	7B3ADB8	87AD000	
DEC 59 : 139189856.000000	129215928.000000	142266368.000000	
HEX 60 : 120070C0	10874AA0	21F2D2	
DEC 60 : 302018752.000000	277301920.000000	2224850.000000	
HEX 61 : 1B318000	D70E730	1C68CF00	
DEC 61 : 456228864.000000	225503024.000000	476630784.000000	
HEX 62 : AF669E0	13D46BA0	12DA1960	
DEC 62 : 183921120.000000	332688288.000000	316283232.000000	
HEX 63 : D801880	16B16480	2474C3C	
DEC 63 : 226498688.000000	380724352.000000	38227004.000000	
HEX 64 : 1EC12620	88EF41	1AFB4C40	
DEC 64 : 515974688.000000	8974145.000000	452676672.000000	
HEX 65 : 8229290	DC87360	179AE960	
DEC 65 : 136483472.000000	231240544.000000	396028256.000000	
HEX 66 : 169A1500	FC77F80	60DAA58	
DEC 66 : 379196672.000000	264732544.000000	101558872.000000	
HEX 67 : 8340530	1D26E8C0	3C7EA5C	
DEC 67 : 137626928.000000	489089216.000000	63433308.000000	
HEX 68 : E6CE0F0	1EACF900	1BD45C40	
DEC 68 : 242016496.000000	514652416.000000	466902080.000000	
HEX 69 : AFFD8F0	A68F5F0	B194B5	
DEC 69 : 184539376.000000	174650864.000000	11637941.000000	
HEX 70 : 91EC530	13E9A840	1C8251E0	
DEC 70 : 153011504.000000	334080064.000000	478302688.000000	
HEX 71 : 5E11A5	8DD1040	18BC4A60	
DEC 71 : 6164901.000000	148705344.000000	414992992.000000	
HEX 72 : 1CFEC900	6448060	1CCB788	
DEC 72 : 486459648.000000	105152608.000000	30193544.000000	
HEX 73 : 15F9DDE0	16BAB	18C8C2E0	
DEC 73 : 368696800.000000	93099.000000	415810272.000000	
HEX 74 : 61D70F	1EDD18C0	2CC5878	
DEC 74 : 6412047.000000	517806272.000000	46946424.000000	
HEX 75 : 1E1C0BC0	16B6C	DC97970	
DEC 75 : 505154496.000000	93036.000000	231307632.000000	
HEX 76 : 969CC00	16BAB	78260F0	
DEC 76 : 157928448.000000	93099.000000	125985008.000000	
HEX 77 : 1F6D9620	8961060	18174E20	
DEC 77 : 527275552.000000	144052320.000000	404180512.000000	
HEX 78 : 179D02A0	2D6820C	AB4DE20	
DEC 78 : 396165792.000000	47612428.000000	179625504.000000	
