Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : A331350	B0BFCC0	ACCCE20	
HEX 57 : 454E788	16484	1F3275A0	
DEC 57 : 72673160.000000	91268.000000	523400608.000000	
HEX 58 : 1B963780	1A0C6D80	18CDB000	
DEC 58 : 462829440.000000	437022080.000000	416133120.000000	
HEX 59 : B5F2E20	1DB91020	DFCBA60	
DEC 59 : 190787104.000000	498667552.000000	234666592.000000	
HEX 60 : 1CEB9000	605B71	1C409D20	
DEC 60 : 485199872.000000	6314865.000000	473996576.000000	
HEX 61 : 11C3F340	C2DDAA0	15DA9D20	
DEC 61 : 298054464.000000	204331680.000000	366648608.000000	
HEX 62 : E2EEE90	152C0	888BCB0	
DEC 62 : 237956752.000000	86720.000000	143178928.000000	
HEX 63 : 1B93CB40	2DAA8B0	45761E0	
DEC 63 : 462670656.000000	47884464.000000	72835552.000000	
HEX 64 : 16476080	1DCE5500	7427968	
DEC 64 : 373776512.000000	500061440.000000	121796968.000000	
HEX 65 : 6DC0E98	11A97F00	7FB6F88	
DEC 65 : 115084952.000000	296320768.000000	133918600.000000	
HEX 66 : AEE7CB0	2A85058	1CBA3A60	
DEC 66 : 183401648.000000	44585048.000000	481966688.000000	
HEX 67 : 19049C40	DFD9630	14F406A0	
DEC 67 : 419732544.000000	234722864.000000	351536800.000000	
HEX 68 : 1F260100	12D86700	15F5D160	
DEC 68 : 522584320.000000	316172032.000000	368431456.000000	
HEX 69 : 8D5E3C0	2F9F3D0	CEC4710	
DEC 69 : 148235200.000000	49935312.000000	216811280.000000	
HEX 70 : 1BBAAE20	169F1	CC6A170	
DEC 70 : 465219104.000000	92657.000000	214344048.000000	
HEX 71 : 1D71B5A0	1CAA2A00	9457530	
DEC 71 : 493991328.000000	480913920.000000	155546928.000000	
HEX 72 : 15BA84C0	5AC922	1E7B7D20	
DEC 72 : 364545216.000000	5949730.000000	511409440.000000	
HEX 73 : CB20F1	10F7FFA0	1B44BF00	
DEC 73 : 13312241.000000	284688288.000000	457490176.000000	
HEX 74 : 10BEBBC0	16A30	18BEA000	
DEC 74 : 280935360.000000	92720.000000	415145984.000000	
HEX 75 : 1B18F2E0	1D7FE6C0	110F2CC0	
DEC 75 : 454619872.000000	494921408.000000	286207168.000000	
HEX 76 : 195E63C0	1657CE80	12A2C340	
DEC 76 : 425616320.000000	374853248.000000	312656704.000000	
HEX 77 : 1843CF00	175E90E0	A9FB620	
DEC 77 : 407097088.000000	392073440.000000	178239008.000000	
HEX 78 : CFC4C40	16BAB	119C4B4	
DEC 78 : 217861184.000000	93099.000000	18465972.000000	
HEX 79 : 1E9A8F00	E375040	74C0878	
DEC 79 : 513445632.000000	238506048.000000	122423416.000000	
HEX 80 : 6AEE168	1733C600	B31E1E	
DEC 80 : 112124264.000000	389268992.000000	11738654.000000	
HEX 81 : 1CCF6F00	7398A28	1428FA60	
DEC 81 : 483356416.000000	121211432.000000	338229856.000000	
HEX 82 : 18FA22E0	936E910	76B6CB8	
DEC 82 : 419046112.000000	154593552.000000	124480696.000000	
HEX 83 : 11207520	18E10300	E501780	
DEC 83 : 287339808.000000	417399552.000000	240129920.000000	
HEX 84 : 184873C0	14B5A300	1EAC84C0	
DEC 84 : 407401408.000000	347448064.000000	514622656.000000	
HEX 85 : 12AAF340	A2A04E0	36BFE20	
DEC 85 : 313193280.000000	170525920.000000	57409056.000000	
HEX 86 : 14A34A60	E03848	C3ACB5	
DEC 86 : 346245728.000000	14694472.000000	12823733.000000	
HEX 87 : 4CEB078	EB12710	E96EE90	
DEC 87 : 80654456.000000	246490896.000000	244772496.000000	
HEX 88 : 5BD9710	8687140	1C2834C	
DEC 88 : 96311056.000000	141062464.000000	29524812.000000	
HEX 89 : 1F0D2A60	B3EC6D0	E3374B0	
DEC 89 : 520956512.000000	188663504.000000	238253232.000000	
HEX 90 : 18CD1100	1C2DDEA0	1F7755A0	
DEC 90 : 416092416.000000	472768160.000000	527914400.000000	
HEX 91 : 1F13696	18D80DC0	1A627C40	
DEC 91 : 32585366.000000	416812480.000000	442661952.000000	
HEX 92 : 30F3698	A8AE590	876CB50	
DEC 92 : 51328664.000000	176874896.000000	142003024.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
