Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 14B12D20	1BDD7C40	D0CBB8	
DEC 56 : 492450752.000000	370889664.000000	206145408.000000	
HEX 57 : 1C7024C0	146272E0	14BE4D40	
DEC 57 : 477111488.000000	341996256.000000	348015936.000000	
HEX 58 : 197F3E20	F6F5970	1A85C680	
DEC 58 : 427769376.000000	258955632.000000	444974720.000000	
HEX 59 : 1686ED20	10E79A60	14AB742	
DEC 59 : 377941280.000000	283613792.000000	21673794.000000	
HEX 60 : 1D20D5A0	D515690	CAC72C	
DEC 60 : 488691104.000000	223434384.000000	13289260.000000	
HEX 61 : 1A19CF00	1C3F0A60	14E1E0C0	
DEC 61 : 437899008.000000	473893472.000000	350347456.000000	
HEX 62 : F6FE5A0	22575A4	16F42F60	
DEC 62 : 258991520.000000	36009380.000000	385101664.000000	
HEX 63 : D047780	9A803C0	1B228D80	
DEC 63 : 218396544.000000	162005952.000000	455249280.000000	
HEX 64 : 6F09168	1C31DF00	C28E340	
DEC 64 : 116429160.000000	473030400.000000	204006208.000000	
HEX 65 : 160E8CC0	1774A1E0	F966FA0	
DEC 65 : 370052288.000000	393519584.000000	261517216.000000	
HEX 66 : 180A6800	8555C40	E2F57D0	
DEC 66 : 403335168.000000	139811904.000000	237983696.000000	
HEX 67 : 7C31258	5032A58	BE39	
DEC 67 : 130224728.000000	84093528.000000	48697.000000	
HEX 68 : 1C63A5A	1C3DC2E0	11A340E0	
DEC 68 : 29768282.000000	473809632.000000	295911648.000000	
HEX 69 : 351625C	1DE3B780	C032	
DEC 69 : 55665244.000000	501462912.000000	49202.000000	
HEX 70 : 1F4B1B40	1D2F83C0	8C309B0	
DEC 70 : 525015872.000000	489653184.000000	146999728.000000	
HEX 71 : 946D710	1256C780	5CB3F98	
DEC 71 : 155637520.000000	307677056.000000	97206168.000000	
HEX 72 : 50EE8F0	14DD2880	B7F2580	
DEC 72 : 84863216.000000	350038144.000000	192882048.000000	
HEX 73 : 149025A0	11DDC960	147E8760	
DEC 73 : 344991136.000000	299747680.000000	343836512.000000	
HEX 74 : 2EE93C4	DB99C40	A65D650	
DEC 74 : 49189828.000000	230267968.000000	174446160.000000	
HEX 75 : 1F8283C0	100F72E0	7E50830	
DEC 75 : 528647104.000000	269447904.000000	132450352.000000	
HEX 76 : 1A3BF10	1DE06880	1F6AA8C0	
DEC 76 : 27508496.000000	501246080.000000	527083712.000000	
HEX 77 : 4239A58	7B75968	6062FB8	
DEC 77 : 69442136.000000	129456488.000000	101068728.000000	
HEX 78 : 41D3000	F433F10	11C3FFC0	
DEC 78 : 69021696.000000	256065296.000000	298057664.000000	
HEX 79 : 14FF1A60	1D0FA1E0	1E2D42E0	
DEC 79 : 352262752.000000	487563744.000000	506282720.000000	
HEX 80 : 1954FB40	7FDC1E0	1C5067A0	
DEC 80 : 424999744.000000	134070752.000000	475031456.000000	
HEX 81 : 6ACD078	1CE1B960	17516420	
DEC 81 : 111988856.000000	484555104.000000	391210016.000000	
HEX 82 : 1E23F960	31F3878	10FD7F80	
DEC 82 : 505674080.000000	52377720.000000	285048704.000000	
HEX 83 : A4B42D0	BA92F10	277E5AC	
DEC 83 : 172704464.000000	195637008.000000	41412012.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
