Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 457524576.000000	516681472.000000	257366384.000000	
HEX 57 : D8E5A6	5138E58	BA72B50	
DEC 57 : 14214566.000000	85167704.000000	195504976.000000	
HEX 58 : D538A20	ED86D30	1708C3C0	
DEC 58 : 223578656.000000	249064752.000000	386450368.000000	
HEX 59 : 15700160	17AC16A	3D85A5	
DEC 59 : 359661920.000000	24822122.000000	4031909.000000	
HEX 60 : 8B330F	163A2380	1D43AB40	
DEC 60 : 9122575.000000	372908928.000000	490974016.000000	
HEX 61 : 1D224F80	AE4BA60	13DEA780	
DEC 61 : 488787840.000000	182762080.000000	333358976.000000	
HEX 62 : 1A203C00	175BFDE0	F140690	
DEC 62 : 438320128.000000	391904736.000000	252970640.000000	
HEX 63 : 16175DA0	2FFE388	1F7AC6A0	
DEC 63 : 370630048.000000	50324360.000000	528139936.000000	
HEX 64 : 1FB77C4	18EAE100	6CCF968	
DEC 64 : 33257412.000000	418046208.000000	114096488.000000	
HEX 65 : 1D5E14C0	175B89E0	1EFE3100	
DEC 65 : 492704960.000000	391875040.000000	519975168.000000	
HEX 66 : 1F881E20	1CE463C0	484B878	
DEC 66 : 529014304.000000	484729792.000000	75806840.000000	
HEX 67 : 1503C340	1FB75800	136D9100	
DEC 67 : 352568128.000000	532109312.000000	325947648.000000	
HEX 68 : 42DD9A8	15A39660	D3B0C40	
DEC 68 : 70113704.000000	363042400.000000	221973568.000000	
HEX 69 : 1B9AC560	46C8F88	3F91D2C	
DEC 69 : 463127904.000000	74223496.000000	66657580.000000	
HEX 70 : 5AEEF88	CED4E20	1C4762E0	
DEC 70 : 95350664.000000	216878624.000000	474440416.000000	
HEX 71 : 119961A0	665AA98	B8A7F10	
DEC 71 : 295264672.000000	107326104.000000	193625872.000000	
HEX 72 : 15D2FF80	CD430F	F592880	
DEC 72 : 366149504.000000	13452047.000000	257501312.000000	
HEX 73 : 149E39E0	ADD7660	148CF5A0	
DEC 73 : 345913824.000000	182285920.000000	344782240.000000	
HEX 74 : 196236A0	18556F00	16230F0	
DEC 74 : 425866912.000000	408252160.000000	23212272.000000	
HEX 75 : 9BAE440	6DFAC78	1A5CB1E0	
DEC 75 : 163243072.000000	115321976.000000	442282464.000000	
HEX 76 : D4DDA6	13B13DA0	D49878	
DEC 76 : 13950374.000000	330382752.000000	13932664.000000	
HEX 77 : DA64B80	1D246AE0	1315C6A0	
DEC 77 : 229002112.000000	488925920.000000	320194208.000000	
HEX 78 : CDE8840	15C06D00	11E03A60	
DEC 78 : 215910464.000000	364932352.000000	299907680.000000	
HEX 79 : 84574B	1841ADA0	146DD000	
DEC 79 : 8673099.000000	406957472.000000	342740992.000000	
HEX 80 : 6248A20	13426440	1429E880	
DEC 80 : 103057952.000000	323118144.000000	338290816.000000	
HEX 81 : 1A120D00	19962480	16453F00	
DEC 81 : 437390592.000000	429270144.000000	373636864.000000	
HEX 82 : 14748380	14F66B40	90BFC40	
DEC 82 : 343180160.000000	351693632.000000	151780416.000000	
HEX 83 : 7455ED0	36F30B4	5E74B48	
DEC 83 : 121986768.000000	57618612.000000	99044168.000000	
HEX 84 : 17A92AA0	DA59350	D56A5A0	
DEC 84 : 396962464.000000	228954960.000000	223782304.000000	
HEX 85 : 12A831E0	184EEC40	15F50F00	
DEC 85 : 313012704.000000	407825472.000000	368381696.000000	
HEX 86 : 70A0F48	1208BD00	59CC968	
DEC 86 : 118099784.000000	302562560.000000	94161256.000000	
HEX 87 : C8C40B0	160740C0	A5BC2D0	
DEC 87 : 210518192.000000	369574080.000000	173785808.000000	
HEX 88 : A4D3B50	B3216D0	3B074B4	
DEC 88 : 172833616.000000	187832016.000000	61895860.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
